Epoch,Time_Hours,Ground_Truth,YASA_Raw,YASA_Mapped,Correct,YASA_Confidence
383,3.191666666666667,Light,N2,Light,1,0.8210586386742145
384,3.2,Light,N2,Light,1,0.756200175344855
385,3.2083333333333335,Light,N2,Light,1,0.6987067722709335
386,3.216666666666667,Light,N2,Light,1,0.8855600150173748
387,3.225,Deep,N2,Light,0,0.9151845014926966
388,3.2333333333333334,Deep,N2,Light,0,0.899009854769151
389,3.2416666666666667,Deep,N2,Light,0,0.7198188814398041
390,3.25,Light,N2,Light,1,0.6974124119064612
391,3.2583333333333333,Light,N2,Light,1,0.6359695291320476
392,3.2666666666666666,Light,N2,Light,1,0.6379088901219973
393,3.275,Light,N2,Light,1,0.5770495063867365
394,3.283333333333333,Light,N2,Light,1,0.6713879000566129
395,3.2916666666666665,Light,N2,Light,1,0.710615500206642
396,3.3,Light,N2,Light,1,0.6097043880760927
397,3.308333333333333,Light,N2,Light,1,0.6917605764435347
398,3.316666666666667,Deep,N2,Light,0,0.8411291833971771
399,3.325,Deep,N2,Light,0,0.8365784157155025
400,3.3333333333333335,Deep,N3,Deep,1,0.5157972239197464
401,3.341666666666667,Deep,N2,Light,0,0.8634748712940704
402,3.35,Deep,N2,Light,0,0.7766508463595646
403,3.3583333333333334,Light,N2,Light,1,0.7008275254073325
404,3.3666666666666667,Light,N2,Light,1,0.8358540304960763
405,3.375,Light,N2,Light,1,0.525814521550344
406,3.3833333333333333,Light,N2,Light,1,0.557823151408759
407,3.3916666666666666,Light,N2,Light,1,0.8502526631286595
408,3.4,Light,N2,Light,1,0.5977082639885928
409,3.408333333333333,Light,N2,Light,1,0.7096060237823352
410,3.4166666666666665,Light,N2,Light,1,0.7246271120646208
411,3.425,Light,N2,Light,1,0.516926572939249
412,3.433333333333333,Light,N2,Light,1,0.7392398401828457
413,3.441666666666667,Light,N2,Light,1,0.8253092444666352
414,3.45,Light,N2,Light,1,0.9005405863825099
415,3.4583333333333335,Light,N2,Light,1,0.9415590327736315
416,3.466666666666667,Light,N2,Light,1,0.8785113177971945
417,3.475,Light,N2,Light,1,0.8043155229624339
418,3.4833333333333334,Light,N2,Light,1,0.7764760474515628
419,3.4916666666666667,Light,N2,Light,1,0.8105906353659499
420,3.5,Light,N2,Light,1,0.7145453078807218
421,3.5083333333333333,Light,N2,Light,1,0.8505940484150929
422,3.5166666666666666,Light,N2,Light,1,0.8461456093737654
423,3.525,Light,N2,Light,1,0.8699103922972485
424,3.533333333333333,Light,N2,Light,1,0.8682974873716869
425,3.5416666666666665,Light,N2,Light,1,0.7355658069344151
426,3.55,Deep,N2,Light,0,0.7502726785997083
427,3.558333333333333,Deep,N2,Light,0,0.7904740506908184
428,3.566666666666667,Deep,N2,Light,0,0.828647426028978
429,3.575,Deep,N2,Light,0,0.8687239366322813
430,3.5833333333333335,Deep,N2,Light,0,0.7580792344956313
431,3.591666666666667,Deep,N2,Light,0,0.6419539828661996
432,3.6,Deep,N2,Light,0,0.7848135791305538
433,3.6083333333333334,Deep,N2,Light,0,0.5553635827043294
434,3.6166666666666667,Deep,N2,Light,0,0.8472565090838716
435,3.625,Deep,N2,Light,0,0.559089403474966
436,3.6333333333333333,Deep,N2,Light,0,0.6384852188838235
437,3.6416666666666666,Deep,N2,Light,0,0.5442120830165466
438,3.65,Deep,N2,Light,0,0.7920781117842947
439,3.658333333333333,Deep,N2,Light,0,0.5635915125115486
440,3.6666666666666665,Deep,N2,Light,0,0.7710431459067596
441,3.675,Deep,N2,Light,0,0.6951117109837444
442,3.683333333333333,Deep,N2,Light,0,0.6291691855297008
443,3.691666666666667,Deep,N2,Light,0,0.5008952297012104
444,3.7,Deep,N2,Light,0,0.6843839371653072
445,3.7083333333333335,Deep,N2,Light,0,0.5397566567513347
446,3.716666666666667,Deep,N2,Light,0,0.4702050769339567
